含义,列名
进程id,PID
父进程id,PPID
Real user name,RUSER
进程所有者的用户id,UID
进程所有者的用户名,USER
进程所有者的组名,GROUP
启动进程的终端名。不是从终端启动的进程则显示为 ?,TTY
优先级,PR
nice值。负值表示高优先级，正值表示低优先级,NI
最后使用的CPU，仅在多CPU环境下有意义,P
上次更新到现在的CPU时间占用百分比,%CPU
进程使用的CPU时间总计，单位秒,TIME
进程使用的CPU时间总计，单位1/100秒,TIME+
进程使用的物理内存百分比,%MEM
进程使用的虚拟内存总量，单位kb。VIRT=SWAP+RES,VIRT
进程使用的虚拟内存中，被换出的大小，单位kb。,SWAP
进程使用的、未被换出的物理内存大小，单位kb。RES=CODE+DATA,RES
可执行代码占用的物理内存大小，单位kb,CODE
可执行代码以外的部分(数据段+栈)占用的物理内存大小，单位kb,DATA
共享内存大小，单位kb,SHR
页面错误次数,nFLT
最后一次写入到现在，被修改过的页面数。,nDRT
进程状态。             D=不可中断的睡眠状态             R=运行             S=睡眠             T=跟踪/停止             Z=僵尸进程,S
命令名/命令行,COMMAND
若该进程在睡眠，则显示睡眠中的系统函数名,WCHAN
任务标志，参考 sched.h,Flags
